stage,trial,mean_score,std_score,radio_p_min,radio_p_max,radio_w_req,radio_w_load,radio_w_inter,radio_w_block,radio_w_demand,radio_sig_k,radio_ch_min,radio_ch_max,radio_w_cov,radio_w_chmatch,radio_w_block_ch,radio_w_demand_ch,radio_sig_k_ch,compute_off_base,compute_off_demand_k,compute_off_queue_k,compute_cpu_base,compute_cpu_queue_k,compute_cpu_demand_k,compute_cpu_min
compute,4,9.876518740063016,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.33327702608265836,1.2030896804785862,2.311754168049722,0.6580664724939453,0.09242681800293556,0.5590535119601012,0.009739694462770255
compute,5,18.154691616320466,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.0655693746687348,1.0129584430012262,1.7831454907792454,0.618976546201301,2.1636413701391572,1.1091472027147649,0.16017431842132643
compute,6,64.98912111186277,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.029378225893967547,0.35180272566194787,1.5547444334381144,0.6865002436998586,0.011250312349147806,0.7719440131745248,0.13545747987287945
compute,7,47.11021468627334,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.017764373477167927,0.6020333363300818,2.239087203459242,0.537290247084687,0.5941459084014933,1.279171694447869,0.06960628468190287
compute,8,14.117239389532788,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.5120068026864356,0.4484154766783583,1.4758006272078725,0.31755205419826726,0.6870626268876676,1.3298363432578038,0.037518736387898266
compute,9,45.29008473049369,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.05088695474145786,0.5128904078184906,1.7940978691039189,0.6459452847810254,2.496858425166912,0.44454308551674737,0.08158839022625644
compute,10,21.456316285746947,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.08209276681777578,0.8623078944345504,2.493950093157293,0.5607048080965268,1.4880321010334294,0.588553639382691,0.18305975205711097
compute,11,11.129086369458117,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.2981499576782097,0.20155036996959225,0.9134461579978337,0.05373333507821352,0.5049475942219539,0.026503171499868305,0.09065598330003269
compute,12,15.403369781690367,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.3807241589710783,0.5149386935683616,1.050954428763193,0.7673674182756608,1.8799078039372887,0.8112849554174268,0.05690817502236505
compute,13,13.390369722367309,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.5381980792637971,0.3526456753209892,0.8133568262916926,0.7272518515383588,1.3238551382126809,1.113476924126965,0.11814895883275323
compute,14,14.555094900958629,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.39206352540569706,0.44907493727223835,0.6034301540666573,0.2579938777349322,0.38860391020855617,1.3114715479362111,0.056649386650022816
