algorithm,method,seed,user_id,mean_qoe
MAPPO,mappo,42,18,0.7677185157418387
MAPPO,mappo,42,19,0.711905330552145
MAPPO,mappo,42,20,0.7574142525340176
MAPPO,mappo,42,21,0.7762836737515864
MAPPO,mappo,42,22,0.7925335221026617
MAPPO,mappo,42,23,0.7449117213414783
MAPPO,mappo,42,24,0.7350704982276851
MAPPO,mappo,42,25,0.746345815344429
MAPPO,mappo,42,26,0.7634846576618248
MAPPO,mappo,42,27,0.765971090281229
MAPPO,mappo,42,28,0.7241967485861226
MAPPO,mappo,42,29,0.7386015305808832
MAPPO,mappo,42,30,0.8194468043992593
MAPPO,mappo,42,31,0.7582222884085074
MAPPO,mappo,42,32,0.7455690371579333
MAPPO,mappo,42,33,0.7433782746329737
MAPPO,mappo,42,34,0.7931713283037688
MAPPO,mappo,42,35,0.7365448710844372
MAPPO,mappo,42,36,0.7580602482615606
MAPPO,mappo,42,37,0.7837943283263414
MAPPO,mappo,42,38,0.7842499408368765
MAPPO,mappo,42,39,0.7857923595887453
MAPPO,mappo,42,40,0.7474589242520481
MAPPO,mappo,42,41,0.7604465578646795
MAPPO,mappo,42,42,0.7580975069139547
MAPPO,mappo,42,43,0.7856593445571571
MAPPO,mappo,42,44,0.7634520268798519
MAPPO,mappo,42,45,0.7363633115174067
MAPPO,mappo,42,46,0.7175045025411411
MAPPO,mappo,42,47,0.7748819275087525
MAPPO,mappo,42,48,0.7913963991927994
MAPPO,mappo,42,49,0.7709232524355005
MAPPO,mappo,42,50,0.7204745297765675
MAPPO,mappo,42,51,0.7315315102416243
MAPPO,mappo,42,52,0.7363975733617321
MAPPO,mappo,42,53,0.7660866957183439
MAPPO,mappo,42,54,0.7483968485226874
MAPPO,mappo,42,55,0.7703842858754775
MAPPO,mappo,42,56,0.7668333044578582
MAPPO,mappo,42,57,0.7494719026370774
MAPPO,mappo,42,58,0.7329072841358703
MAPPO,mappo,42,59,0.7611826769985778
MAPPO,mappo,42,60,0.8010361988319304
MAPPO,mappo,42,61,0.715881944434696
MAPPO,mappo,42,62,0.7629474806068075
MAPPO,mappo,42,63,0.7432279290127773
MAPPO,mappo,42,64,0.735712575266889
MAPPO,mappo,42,65,0.7548406183115879
MAPPO,mappo,42,66,0.772695303968716
MAPPO,mappo,42,67,0.736316732482437
MAPPO,mappo,42,68,0.750483509605771
MAPPO,mappo,42,69,0.7563422775651292
MAPPO,mappo,42,70,0.7243576965321399
MAPPO,mappo,42,71,0.7510491898700622
MAPPO,mappo,42,72,0.7530048364585081
MAPPO,mappo,42,73,0.7626181110911798
MAPPO,mappo,42,74,0.7735004950160244
MAPPO,mappo,42,75,0.7758473401567567
MAPPO,mappo,42,76,0.7489789908461132
MAPPO,mappo,42,77,0.7670187157898467
MAPPO,mappo,42,78,0.7716236921899304
MAPPO,mappo,42,79,0.7706889761276781
MAPPO,mappo,43,0,0.7713379668592845
MAPPO,mappo,43,1,0.751574585880443
MAPPO,mappo,43,2,0.7746558662473108
MAPPO,mappo,43,3,0.7493533959733643
MAPPO,mappo,43,4,0.7472706442424596
MAPPO,mappo,43,5,0.7286496993580169
MAPPO,mappo,43,6,0.759078972009389
MAPPO,mappo,43,7,0.7861959428675143
MAPPO,mappo,43,8,0.7873164735643127
MAPPO,mappo,43,9,0.7841569989092384
MAPPO,mappo,43,10,0.7398107510657527
MAPPO,mappo,43,11,0.7710264808451945
MAPPO,mappo,43,12,0.7247194645090054
MAPPO,mappo,43,13,0.7445963262519006
MAPPO,mappo,43,14,0.7796954930222013
MAPPO,mappo,43,15,0.7376276243819453
MAPPO,mappo,43,16,0.7319498833079735
MAPPO,mappo,43,17,0.7655192828701571
MAPPO,mappo,43,18,0.7837311947640676
MAPPO,mappo,43,19,0.7267446995049031
MAPPO,mappo,43,20,0.7739099892203103
MAPPO,mappo,43,21,0.7930514490510016
MAPPO,mappo,43,22,0.8083954184065791
MAPPO,mappo,43,23,0.7600785156508004
MAPPO,mappo,43,24,0.7515832710255084
MAPPO,mappo,43,25,0.7612688105545946
MAPPO,mappo,43,26,0.7807824177040487
MAPPO,mappo,43,27,0.7824166696318483
MAPPO,mappo,43,28,0.740245079825115
MAPPO,mappo,43,29,0.754037723771326
MAPPO,mappo,43,30,0.8354711325750127
MAPPO,mappo,43,31,0.7736915483167176
MAPPO,mappo,43,32,0.7612776138803348
MAPPO,mappo,43,33,0.7585356289592494
MAPPO,mappo,43,34,0.8095444392586069
MAPPO,mappo,43,35,0.7516277543330863
MAPPO,mappo,43,36,0.7741145496411866
